b_region,s_region,date_a,value1,date_b,value2
인천,인천중구,2013-04-08,97.7,2013-04-08,-0.03
인천,인천중구,2013-04-15,97.7,2013-04-15,-0.03
인천,인천중구,2013-04-22,97.4,2013-04-22,0.0
인천,인천중구,2013-04-29,97.4,2013-04-29,-0.28
인천,인천동구,2013-04-01,92.8,2013-04-01,-0.32
인천,인천동구,2013-04-08,92.8,2013-04-08,0.0
인천,인천동구,2013-04-15,92.7,2013-04-15,-0.01
인천,인천동구,2013-04-22,92.6,2013-04-22,-0.13
인천,인천동구,2013-04-29,92.5,2013-04-29,-0.14
인천,인천미추홀구,2013-04-01,91.7,2013-04-01,-0.04
인천,인천미추홀구,2013-04-08,91.7,2013-04-08,-0.13
인천,인천미추홀구,2013-04-15,91.7,2013-04-15,-0.02
인천,인천미추홀구,2013-04-22,91.6,2013-04-22,-0.07
인천,인천미추홀구,2013-04-29,91.6,2013-04-29,-0.06
인천,인천연수구,2013-04-01,86.9,2013-04-01,-0.02
인천,인천연수구,2013-04-08,87.0,2013-04-08,0.0
인천,인천연수구,2013-04-15,87.0,2013-04-15,0.05
인천,인천연수구,2013-04-22,87.0,2013-04-22,0.01
인천,인천연수구,2013-04-29,86.9,2013-04-29,0.0
인천,인천남동구,2013-04-01,88.7,2013-04-01,0.0
인천,인천남동구,2013-04-08,88.7,2013-04-08,-0.04
인천,인천남동구,2013-04-15,88.7,2013-04-15,-0.02
인천,인천남동구,2013-04-22,88.7,2013-04-22,0.0
인천,인천남동구,2013-04-29,88.7,2013-04-29,-0.01
인천,인천부평구,2013-04-01,86.2,2013-04-01,0.01
인천,인천부평구,2013-04-08,86.1,2013-04-08,-0.04
인천,인천부평구,2013-04-15,86.1,2013-04-15,-0.11
인천,인천부평구,2013-04-22,85.9,2013-04-22,-0.08
인천,인천부평구,2013-04-29,85.8,2013-04-29,-0.14
인천,인천계양구,2013-04-01,85.2,2013-04-01,-0.06
인천,인천계양구,2013-04-08,85.2,2013-04-08,-0.07
인천,인천계양구,2013-04-15,85.2,2013-04-15,-0.03
인천,인천계양구,2013-04-22,84.9,2013-04-22,-0.07
인천,인천계양구,2013-04-29,84.9,2013-04-29,-0.25
인천,인천서구,2013-04-01,87.5,2013-04-01,-0.16
인천,인천서구,2013-04-08,87.3,2013-04-08,-0.06
인천,인천서구,2013-04-15,87.2,2013-04-15,-0.3
인천,인천서구,2013-04-22,87.2,2013-04-22,-0.09
인천,인천서구,2013-04-29,87.2,2013-04-29,-0.02
서울,서울강북,2013-05-06,77.8,2013-05-06,-0.01
서울,서울강북,2013-05-13,77.7,2013-05-13,-0.06
서울,서울강북,2013-05-20,77.7,2013-05-20,-0.06
서울,서울강북,2013-05-27,77.7,2013-05-27,-0.05
