종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"011070","LG이노텍","KOSPI","전기전자","225500","-6000","-2.59","5336932628500"
"066570","LG전자","KOSPI","전기전자","164000","1000","0.61","26838241496000"
"066575","LG전자우","KOSPI","전기전자","76900","300","0.39","1321602784800"
"037560","LG헬로비전","KOSPI","서비스업","7470","-220","-2.86","578528081550"
"051910","LG화학","KOSPI","화학","835000","0","0.00","58944606405000"
"051915","LG화학우","KOSPI","화학","378500","0","0.00","2910210800000"
"079550","LIG넥스원","KOSPI","기계","43650","-350","-0.80","960300000000"
"006260","LS","KOSPI","기타금융","72900","100","0.14","2347380000000"
"010120","LS ELECTRIC","KOSPI","전기전자","63800","800","1.27","1914000000000"
"000680","LS네트웍스","KOSPI","유통업","4260","-90","-2.07","335700848160"
"229640","LS전선아시아","KOSPI","기타금융","9310","130","1.42","285117623490"
"001120","LX인터내셔널","KOSPI","유통업","30850","-100","-0.32","1195746000000"
"108670","LX하우시스","KOSPI","화학","99500","-1000","-1.00","892283165000"
"108675","LX하우시스우","KOSPI","화학","43600","-600","-1.36","45009588000"
"383800","LX홀딩스","KOSPI","기타금융","10500","-200","-1.87","800947245000"
"38380K","LX홀딩스1우","KOSPI","기타금융","17500","-150","-0.85","25642487500"
"023150","MH에탄올","KOSPI","음식료품","11200","-200","-1.75","82639491200"
"035420","NAVER","KOSPI","서비스업","442000","-10000","-2.21","72604420590000"
"181710","NHN","KOSPI","서비스업","78300","-1900","-2.37","1531941457500"
"005940","NH투자증권","KOSPI","증권","12850","200","1.58","3616104197950"
"005945","NH투자증권우","KOSPI","증권","11450","0","0.00","216072583600"
"338100","NH프라임리츠","KOSPI","서비스업","4930","15","0.31","91993800000"
"034310","NICE","KOSPI","서비스업","18600","50","0.27","704610780000"
"008260","NI스틸","KOSPI","철강금속","5120","-120","-2.29","146432599040"
"004250","NPC","KOSPI","화학","5940","-310","-4.96","218116800000"
"004255","NPC우","KOSPI","화학","3420","-260","-7.07","18057600000"
"010060","OCI","KOSPI","화학","125000","5000","4.17","2981171375000"
"005490","POSCO","KOSPI","철강금속","367500","3000","0.82","32041161862500"
"010950","S-Oil","KOSPI","화학","101000","2600","2.64","11370861992000"
"010955","S-Oil우","KOSPI","화학","58300","800","1.39","234478344100"
"034120","SBS","KOSPI","서비스업","48500","-50","-0.10","885250227000"
"101060","SBS미디어홀딩스","KOSPI","서비스업","2280","-45","-1.94","318963313200"
"005090","SGC에너지","KOSPI","전기가스업","53600","-1800","-3.25","786687414400"
"001380","SG글로벌","KOSPI","운수장비","3070","-35","-1.13","138039919010"
"004060","SG세계물산","KOSPI","유통업","836","26","3.21","169227266560"
"001770","SHD","KOSPI","철강금속","26200","-50","-0.19","31829803600"
"002360","SH에너지화학","KOSPI","화학","1125","-5","-0.44","125025446250"
"009160","SIMPAC","KOSPI","기계","6680","-310","-4.43","437069166880"
"123700","SJM","KOSPI","운수장비","5130","-210","-3.93","80053126740"
"025530","SJM홀딩스","KOSPI","유통업","4605","-100","-2.13","68771106840"
"034730","SK","KOSPI","기타금융","273500","2000","0.74","19243541229500"
"011790","SKC","KOSPI","화학","159500","-4500","-2.74","6039993531000"
"018670","SK가스","KOSPI","유통업","119000","0","0.00","1098399036000"
"001740","SK네트웍스","KOSPI","유통업","6220","20","0.32","1543727164340"
"001745","SK네트웍스우","KOSPI","유통업","114500","-1500","-1.29","13012696000"
"006120","SK디스커버리","KOSPI","기타금융","49600","350","0.71","944277608000"
"006125","SK디스커버리우","KOSPI","기타금융","39200","0","0.00","53251436000"
"210980","SK디앤디","KOSPI","서비스업","36500","-250","-0.68","736940986000"
"068400","SK렌터카","KOSPI","서비스업","14950","-100","-0.66","706923308000"
"302440","SK바이오사이언스","KOSPI","의약품","166000","3500","2.15","12699000000000"
"326030","SK바이오팜","KOSPI","서비스업","120000","-2000","-1.64","9397590000000"
"361610","SK아이이테크놀로지","KOSPI","전기전자","229500","1000","0.44","16362797364000"
"03473K","SK우","KOSPI","기타금융","245500","-1500","-0.61","138986142500"
"096770","SK이노베이션","KOSPI","화학","260500","1500","0.58","24087279422000"
"096775","SK이노베이션우","KOSPI","화학","170000","-500","-0.29","212232420000"
"001510","SK증권","KOSPI","증권","978","-5","-0.51","462193187238"
"001515","SK증권우","KOSPI","증권","4590","-30","-0.65","17958439260"
"285130","SK케미칼","KOSPI","화학","244000","-2500","-1.01","2867340624000"
"28513K","SK케미칼우","KOSPI","화학","106500","-500","-0.47","155348355000"
"017670","SK텔레콤","KOSPI","통신업","311000","7000","2.30","22410704473000"
"000660","SK하이닉스","KOSPI","전기전자","114000","-2000","-1.72","82992269610000"
"064960","SNT모티브","KOSPI","운수장비","64700","-1100","-1.67","946116899200"
"100840","SNT에너지","KOSPI","기계","21750","-200","-0.91","163270964250"
"003570","SNT중공업","KOSPI","운수장비","10650","-50","-0.47","354141223050"
"036530","SNT홀딩스","KOSPI","기타금융","20250","-100","-0.49","330153691500"
"005610","SPC삼립","KOSPI","음식료품","80200","-200","-0.25","692046521800"
"011810","STX","KOSPI","유통업","7040","-170","-2.36","141280832000"
"077970","STX엔진","KOSPI","기계","12300","-500","-3.91","283009519200"
"071970","STX중공업","KOSPI","기계","6970","-30","-0.43","197710852720"
"002820","SUN&L","KOSPI","종이목재","6330","-60","-0.94","79808570370"
"084870","TBH글로벌","KOSPI","섬유의복","2495","-115","-4.41","52037763405"
"002710","TCC스틸","KOSPI","철강금속","6560","120","1.86","154160000000"
"002900","TYM","KOSPI","기계","2085","5","0.24","294745491240"
"024070","WISCOM","KOSPI","화학","4680","-90","-1.89","71727729840"
"037270","YG PLUS","KOSPI","서비스업","7030","-170","-2.36","445908752300"
"000500","가온전선","KOSPI","전기전자","33650","-500","-1.46","139995676550"
"000860","강남제비스코","KOSPI","화학","31250","-250","-0.79","203125000000"
"035250","강원랜드","KOSPI","서비스업","25950","-50","-0.19","5551755975000"
"011420","갤럭시아에스엠","KOSPI","서비스업","2155","-60","-2.71","59369482820"
"002100","경농","KOSPI","화학","17050","650","3.96","332859903750"
"009450","경동나비엔","KOSPI","전기전자","71300","3800","5.63","970017249000"
"267290","경동도시가스","KOSPI","전기가스업","23650","-150","-0.63","139426351900"
"012320","경동인베스트","KOSPI","기타금융","41150","-150","-0.36","97320696450"
"000050","경방","KOSPI","유통업","13200","-150","-1.12","361881564000"
"214390","경보제약","KOSPI","의약품","13200","50","0.38","315570552000"
"012610","경인양행","KOSPI","화학","6850","-30","-0.44","284592600250"
"009140","경인전자","KOSPI","전기전자","34700","800","2.36","54506655900"
"013580","계룡건설","KOSPI","건설업","33600","0","0.00","300078475200"
"012200","계양전기","KOSPI","기계","5090","30","0.59","165934000000"
"012205","계양전기우","KOSPI","기계","8480","40","0.47","11872000000"
"002140","고려산업","KOSPI","음식료품","4185","-45","-1.06","104371493625"
"010130","고려아연","KOSPI","철강금속","533000","-5000","-0.93","10057710000000"
"002240","고려제강","KOSPI","철강금속","24850","300","1.22","571550000000"
"009290","광동제약","KOSPI","의약품","8870","-60","-0.67","464972948370"
"017040","광명전기","KOSPI","전기전자","3560","-60","-1.66","154281909400"
"017900","광전자","KOSPI","전기전자","2740","-75","-2.66","158765910620"
