종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"048550","SM C&C","KOSDAQ","방송서비스","3720","-170","-4.37","352781066400"
"063440","SM Life Design","KOSDAQ","출판·매체복제","2810","-15","-0.53","126812922740"
"950180","SNK","KOSDAQ","출판·매체복제","20750","-250","-1.19","437032350000"
"289080","SV인베스트먼트","KOSDAQ","금융","4115","-110","-2.60","219057910000"
"089230","THE E&M","KOSDAQ","인터넷","962","-33","-3.32","166849463742"
"161570","THE MIDONG","KOSDAQ","정보기기","1775","-25","-1.39","27659523250"
"192410","THQ","KOSDAQ","통신장비","3510","-55","-1.54","101200793850"
"032540","TJ미디어","KOSDAQ","일반전기전자","4850","-70","-1.42","67568303650"
"048770","TPC","KOSDAQ","기계·장비","4525","0","0.00","66850413300"
"246690","TS인베스트먼트","KOSDAQ","금융","4130","-180","-4.18","161589880270"
"317240","TS트릴리온","KOSDAQ","화학","1220","15","1.24","111122544660"
"038340","UCI","KOSDAQ","기타서비스","445","0","0.00","16641828315"
"073570","WI","KOSDAQ","기타제조","1910","-75","-3.78","154528307430"
"057030","YBM넷","KOSDAQ","기타서비스","9170","350","3.97","149587431490"
"040300","YTN","KOSDAQ","방송서비스","3920","-55","-1.38","164640000000"
"051390","YW","KOSDAQ","유통","4735","-60","-1.25","53767667480"
"052220","iMBC","KOSDAQ","디지털컨텐츠","3870","-95","-2.40","89010000000"
"079940","가비아","KOSDAQ","인터넷","15950","-350","-2.15","215894159800"
"078890","가온미디어","KOSDAQ","통신장비","12600","250","2.02","199734519600"
"036620","감성코퍼레이션","KOSDAQ","유통","1495","0","0.00","112607731015"
"217730","강스템바이오텍","KOSDAQ","제약","6040","-80","-1.31","154392595520"
"114190","강원","KOSDAQ","금속","2500","0","0.00","45387277500"
"094480","갤럭시아머니트리","KOSDAQ","소프트웨어","6990","-180","-2.51","274216567620"
"063080","게임빌","KOSDAQ","디지털컨텐츠","35950","-50","-0.14","237097152400"
"039240","경남스틸","KOSDAQ","금속","3805","-45","-1.17","95125000000"
"053950","경남제약","KOSDAQ","제약","7330","-20","-0.27","144824212210"
"223310","경남제약헬스케어","KOSDAQ","소프트웨어","3320","0","0.00","37836250520"
"011040","경동제약","KOSDAQ","제약","10300","-100","-0.96","316918289800"
"024910","경창산업","KOSDAQ","운송장비·부품","2815","-55","-1.92","100830499075"
"198440","고려시멘트","KOSDAQ","비금속","4650","-90","-1.90","148706814000"
"049720","고려신용정보","KOSDAQ","기타서비스","9020","-80","-0.88","128986000000"
"014570","고려제약","KOSDAQ","제약","11400","-200","-1.72","125400000000"
"348150","고바이오랩","KOSDAQ","기타서비스","32100","-250","-0.77","518785530300"
"098460","고영","KOSDAQ","기계·장비","24250","-50","-0.21","1664877808750"
"035290","골드앤에스","KOSDAQ","출판·매체복제","1305","0","0.00","47272202550"
"038530","골드퍼시픽","KOSDAQ","유통","1565","-60","-3.69","124238374795"
"900280","골든센츄리","KOSDAQ","금융","488","-7","-1.41","86167912408"
"215000","골프존","KOSDAQ","소프트웨어","140600","-900","-0.64","882323349000"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","8900","-70","-0.78","381247680200"
"014200","광림","KOSDAQ","운송장비·부품","4190","-50","-1.18","221744160460"
"026910","광진실업","KOSDAQ","금속","5850","-180","-2.99","37471619250"
"090150","광진윈텍","KOSDAQ","운송장비·부품","7700","830","12.08","74369626100"
"355150","교보10호스팩","KOSDAQ","금융","2210","10","0.45","11757200000"
"331520","교보9호스팩","KOSDAQ","금융","2240","30","1.36","8691200000"
"053270","구영테크","KOSDAQ","운송장비·부품","3780","-35","-0.92","99769977720"
"066620","국보디자인","KOSDAQ","건설","22800","300","1.33","171000000000"
"043650","국순당","KOSDAQ","음식료·담배","8410","10","0.12","150188336640"
