MESR_YM,SIDONM,SUM_YN,INDX_VALU
201211,전라북도,N,99.0
201211,전라남도,N,107.1
201211,경상북도,N,124.7
201211,경상남도,N,106.2
201212,전국,Y,105.2
201212,수도권,Y,101.4
201212,서울특별시,N,104.2
201212,인천광역시,N,97.8
201212,경기도,N,100.5
201212,비수도권,Y,109.8
201212,부산광역시,N,102.3
201212,대구광역시,N,122.2
201212,광주광역시,N,117.1
201212,대전광역시,N,104.7
201212,울산광역시,N,108.5
201212,강원도,N,111.3
201212,충청북도,N,111.7
201212,충청남도,N,119.2
201212,전라북도,N,97.8
201212,전라남도,N,106.4
201212,경상북도,N,120.0
201212,경상남도,N,106.7
201301,전국,Y,112.3
201301,수도권,Y,109.8
201301,서울특별시,N,114.2
201301,인천광역시,N,104.8
201301,경기도,N,108.4
201301,비수도권,Y,115.1
201301,부산광역시,N,105.1
201301,대구광역시,N,130.6
201301,광주광역시,N,123.6
201301,대전광역시,N,111.0
201301,울산광역시,N,114.5
201301,강원도,N,123.8
201301,충청북도,N,120.1
201301,충청남도,N,128.9
201301,전라북도,N,99.4
201301,전라남도,N,104.4
201301,경상북도,N,126.4
201301,경상남도,N,110.0
201302,전국,Y,119.5
201302,수도권,Y,118.0
201302,서울특별시,N,122.1
201302,인천광역시,N,114.5
201302,경기도,N,116.5
201302,비수도권,Y,121.1
201302,부산광역시,N,113.2
201302,대구광역시,N,135.9
201302,광주광역시,N,127.8
201302,대전광역시,N,118.7
201302,울산광역시,N,117.5
201302,강원도,N,129.8
201302,충청북도,N,125.1
201302,충청남도,N,134.2
201302,전라북도,N,110.4
201302,전라남도,N,111.0
201302,경상북도,N,125.4
201302,경상남도,N,116.9
201303,전국,Y,116.8
201303,수도권,Y,114.6
201303,서울특별시,N,114.9
201303,인천광역시,N,112.7
201303,경기도,N,114.8
201303,비수도권,Y,119.5
201303,부산광역시,N,115.3
201303,대구광역시,N,137.7
201303,광주광역시,N,126.2
201303,대전광역시,N,112.4
201303,울산광역시,N,116.2
201303,강원도,N,124.9
201303,충청북도,N,117.6
201303,충청남도,N,125.3
201303,전라북도,N,104.1
201303,전라남도,N,109.2
201303,경상북도,N,125.1
201303,경상남도,N,118.4
201304,전국,Y,118.1
201304,수도권,Y,116.9
201304,서울특별시,N,118.6
201304,인천광역시,N,110.9
201304,경기도,N,117.3
201304,비수도권,Y,119.4
201304,부산광역시,N,113.4
201304,대구광역시,N,138.3
201304,광주광역시,N,124.9
201304,대전광역시,N,114.8
201304,울산광역시,N,116.6
201304,강원도,N,128.1
201304,충청북도,N,119.4
201304,충청남도,N,127.3
201304,전라북도,N,102.7
201304,전라남도,N,106.7
201304,경상북도,N,129.1
201304,경상남도,N,116.5
201305,전국,Y,117.3
201305,수도권,Y,115.8
201305,서울특별시,N,117.7
201305,인천광역시,N,112.3
201305,경기도,N,115.5
201305,비수도권,Y,119.0
201305,부산광역시,N,112.6
201305,대구광역시,N,136.8
201305,광주광역시,N,126.3
201305,대전광역시,N,116.1
201305,울산광역시,N,116.4
201305,강원도,N,126.2
201305,충청북도,N,118.7
201305,충청남도,N,129.1
201305,전라북도,N,104.1
201305,전라남도,N,108.9
201305,경상북도,N,126.7
201305,경상남도,N,113.4
201306,전국,Y,111.7
201306,수도권,Y,109.4
201306,서울특별시,N,108.5
201306,인천광역시,N,110.3
201306,경기도,N,109.7
201306,비수도권,Y,114.6
201306,부산광역시,N,110.2
201306,대구광역시,N,128.4
201306,광주광역시,N,121.3
201306,대전광역시,N,109.5
201306,울산광역시,N,114.2
201306,강원도,N,117.5
201306,충청북도,N,113.4
201306,충청남도,N,116.6
201306,전라북도,N,104.4
201306,전라남도,N,108.9
201306,경상북도,N,124.4
201306,경상남도,N,108.6
201307,전국,Y,113.3
201307,수도권,Y,113.5
201307,서울특별시,N,114.5
201307,인천광역시,N,109.3
201307,경기도,N,113.8
201307,비수도권,Y,113.0
201307,부산광역시,N,108.8
201307,대구광역시,N,122.9
201307,광주광역시,N,116.8
201307,대전광역시,N,110.7
201307,울산광역시,N,113.6
201307,강원도,N,115.2
201307,충청북도,N,114.9
201307,충청남도,N,116.8
201307,전라북도,N,104.3
201307,전라남도,N,105.5
201307,경상북도,N,124.3
201307,경상남도,N,106.0
201308,전국,Y,121.8
201308,수도권,Y,123.8
201308,서울특별시,N,124.6
201308,인천광역시,N,121.1
201308,경기도,N,123.9
201308,비수도권,Y,119.4
201308,부산광역시,N,114.4
201308,대구광역시,N,131.0
201308,광주광역시,N,121.4
201308,대전광역시,N,117.2
201308,울산광역시,N,120.9
201308,강원도,N,124.5
201308,충청북도,N,120.3
201308,충청남도,N,128.2
201308,전라북도,N,110.9
201308,전라남도,N,107.2
201308,경상북도,N,127.9
201308,경상남도,N,113.7
201309,전국,Y,127.7
