big_region_code,big_region_name,small_region_code,small_region_name
2800000000,인천,2826000000,인천서구
9803000000,수도권,1199000000,서울강북
9803000000,수도권,1130500000,서울강북구
9803000000,수도권,1121500000,서울광진구
9803000000,수도권,1135000000,서울노원구
9803000000,수도권,1132000000,서울도봉구
9803000000,수도권,1123000000,서울동대문구
9803000000,수도권,1144000000,서울마포구
9803000000,수도권,1141000000,서울서대문구
9803000000,수도권,1120000000,서울성동구
9803000000,수도권,1129000000,서울성북구
9803000000,수도권,1117000000,서울용산구
9803000000,수도권,1138000000,서울은평구
9803000000,수도권,1111000000,서울종로구
9803000000,수도권,1114000000,서울중구
9803000000,수도권,1126000000,서울중랑구
9803000000,수도권,1198000000,서울강남
9803000000,수도권,1168000000,서울강남구
9803000000,수도권,1174000000,서울강동구
9803000000,수도권,1150000000,서울강서구
9803000000,수도권,1162000000,서울관악구
9803000000,수도권,1153000000,서울구로구
9803000000,수도권,1154500000,서울금천구
9803000000,수도권,1159000000,서울동작구
9803000000,수도권,1165000000,서울서초구
9803000000,수도권,1171000000,서울송파구
9803000000,수도권,1147000000,서울양천구
9803000000,수도권,1156000000,서울영등포구
9803000000,수도권,4111000000,수원
9803000000,수도권,4111100000,수원장안구
9803000000,수도권,4111300000,수원권선구
9803000000,수도권,4111500000,수원팔달구
9803000000,수도권,4111700000,수원영통구
9803000000,수도권,4113000000,성남
9803000000,수도권,4113100000,성남수정구
9803000000,수도권,4113300000,성남중원구
9803000000,수도권,4113500000,성남분당구
9803000000,수도권,4128000000,고양
9803000000,수도권,4128100000,고양덕양구
9803000000,수도권,4128500000,고양일산동구
9803000000,수도권,4128700000,고양일산서구
9803000000,수도권,4117000000,안양
9803000000,수도권,4117100000,안양만안구
9803000000,수도권,4117300000,안양동안구
9803000000,수도권,4119000000,부천
9803000000,수도권,4115000000,의정부
9803000000,수도권,4121000000,광명
9803000000,수도권,4122000000,평택
9803000000,수도권,4127000000,안산
9803000000,수도권,4127300000,안산단원구
9803000000,수도권,4127100000,안산상록구
9803000000,수도권,4129000000,과천
9803000000,수도권,4131000000,구리
9803000000,수도권,4136000000,남양주
9803000000,수도권,4146000000,용인
9803000000,수도권,4146100000,용인처인구
9803000000,수도권,4146300000,용인기흥구
9803000000,수도권,4146500000,용인수지구
9803000000,수도권,4139000000,시흥
9803000000,수도권,4141000000,군포
9803000000,수도권,4143000000,의왕
9803000000,수도권,4145000000,하남
9803000000,수도권,4137000000,오산
9803000000,수도권,4148000000,파주
9803000000,수도권,4150000000,이천
9803000000,수도권,4155000000,안성
9803000000,수도권,4157000000,김포
9803000000,수도권,4163000000,양주
9803000000,수도권,4125000000,동두천
9803000000,수도권,4161000000,광주
9803000000,수도권,4159000000,화성
9803000000,수도권,2811000000,인천중구
